date,Listing type,Housing units
2015-09-30,Entire home/apt,815
2015-10-01,Entire home/apt,819
2015-10-02,Entire home/apt,820
2015-10-03,Entire home/apt,821
2015-10-04,Entire home/apt,822
2015-10-05,Entire home/apt,824
2015-10-06,Entire home/apt,827
2015-10-07,Entire home/apt,830
2015-10-08,Entire home/apt,831
2015-10-09,Entire home/apt,831
2015-10-10,Entire home/apt,831
2015-10-11,Entire home/apt,833
2015-10-12,Entire home/apt,833
2015-10-13,Entire home/apt,835
2015-10-14,Entire home/apt,836
2015-10-15,Entire home/apt,843
2015-10-16,Entire home/apt,843
2015-10-17,Entire home/apt,845
2015-10-18,Entire home/apt,845
2015-10-19,Entire home/apt,847
2015-10-20,Entire home/apt,847
2015-10-21,Entire home/apt,848
2015-10-22,Entire home/apt,853
2015-10-23,Entire home/apt,855
2015-10-24,Entire home/apt,859
2015-10-25,Entire home/apt,859
2015-10-26,Entire home/apt,865
2015-10-27,Entire home/apt,864
2015-10-28,Entire home/apt,864
2015-10-29,Entire home/apt,865
2015-10-30,Entire home/apt,858
2015-10-31,Entire home/apt,859
2015-11-01,Entire home/apt,860
2015-11-02,Entire home/apt,860
2015-11-03,Entire home/apt,862
2015-11-04,Entire home/apt,864
2015-11-05,Entire home/apt,864
2015-11-06,Entire home/apt,870
2015-11-07,Entire home/apt,869
2015-11-08,Entire home/apt,875
2015-11-09,Entire home/apt,882
2015-11-10,Entire home/apt,888
2015-11-11,Entire home/apt,889
2015-11-12,Entire home/apt,895
2015-11-13,Entire home/apt,895
2015-11-14,Entire home/apt,897
2015-11-15,Entire home/apt,902
2015-11-16,Entire home/apt,903
2015-11-17,Entire home/apt,902
2015-11-18,Entire home/apt,903
2015-11-19,Entire home/apt,902
2015-11-20,Entire home/apt,903
2015-11-21,Entire home/apt,906
2015-11-22,Entire home/apt,909
2015-11-23,Entire home/apt,907
2015-11-24,Entire home/apt,909
2015-11-25,Entire home/apt,910
2015-11-26,Entire home/apt,916
2015-11-27,Entire home/apt,917
2015-11-28,Entire home/apt,918
2015-11-29,Entire home/apt,919
2015-11-30,Entire home/apt,922
2015-12-01,Entire home/apt,926
2015-12-02,Entire home/apt,926
2015-12-03,Entire home/apt,927
2015-12-04,Entire home/apt,926
2015-12-05,Entire home/apt,934
2015-12-06,Entire home/apt,938
2015-12-07,Entire home/apt,938
2015-12-08,Entire home/apt,939
2015-12-09,Entire home/apt,943
2015-12-10,Entire home/apt,943
2015-12-11,Entire home/apt,947
2015-12-12,Entire home/apt,950
2015-12-13,Entire home/apt,953
2015-12-14,Entire home/apt,958
2015-12-15,Entire home/apt,962
2015-12-16,Entire home/apt,964
2015-12-17,Entire home/apt,969
2015-12-18,Entire home/apt,971
2015-12-19,Entire home/apt,973
2015-12-20,Entire home/apt,975
2015-12-21,Entire home/apt,980
2015-12-22,Entire home/apt,982
2015-12-23,Entire home/apt,986
2015-12-24,Entire home/apt,991
2015-12-25,Entire home/apt,991
2015-12-26,Entire home/apt,999
2015-12-27,Entire home/apt,999
2015-12-28,Entire home/apt,1001
2015-12-29,Entire home/apt,1006
2015-12-30,Entire home/apt,1011
2015-12-31,Entire home/apt,1014
2016-01-01,Entire home/apt,1017
2016-01-02,Entire home/apt,1020
2016-01-03,Entire home/apt,1026
2016-01-04,Entire home/apt,1030
2016-01-05,Entire home/apt,1035
2016-01-06,Entire home/apt,1044
2016-01-07,Entire home/apt,1049
2016-01-08,Entire home/apt,1055
2016-01-09,Entire home/apt,1057
2016-01-10,Entire home/apt,1059
2016-01-11,Entire home/apt,1061
2016-01-12,Entire home/apt,1063
2016-01-13,Entire home/apt,1067
2016-01-14,Entire home/apt,1069
2016-01-15,Entire home/apt,1072
2016-01-16,Entire home/apt,1071
2016-01-17,Entire home/apt,1073
2016-01-18,Entire home/apt,1072
2016-01-19,Entire home/apt,1073
2016-01-20,Entire home/apt,1077
2016-01-21,Entire home/apt,1077
2016-01-22,Entire home/apt,1077
2016-01-23,Entire home/apt,1081
2016-01-24,Entire home/apt,1082
2016-01-25,Entire home/apt,1083
2016-01-26,Entire home/apt,1083
2016-01-27,Entire home/apt,1086
2016-01-28,Entire home/apt,1088
2016-01-29,Entire home/apt,1093
2016-01-30,Entire home/apt,1094
2016-01-31,Entire home/apt,1098
2016-02-01,Entire home/apt,1101
2016-02-02,Entire home/apt,1104
2016-02-03,Entire home/apt,1112
